我想搜索仓库 flutter-app 里和 "Offline Capabilities" 有关的合并请求	合并请求操作
在 cloud-project 项目的 azure-setup 仓库的 feature/storage 分支上创建一个合并请求吧	合并请求操作
我想看一下 devops-tools 项目的 ansible-roles 仓库的访问统计报告	仓库设置或报表
关闭仓库 core-service 的合并请求	合并请求操作
查找一下用户 xander 在 data-analysis 项目的 data-cleaning 仓库里最近提交的记录	提交相关操作
能帮我在仓库 express-api 的 feature/realtime 分支创建一个合并请求吗？	合并请求操作
在 network-project 项目里，给 network-monitoring 仓库的 main 分支加保护	仓库设置或报表
搜索仓库 bootstrap-themes 里有关 "Responsive Design" 的合并请求	合并请求操作
在 app-development 项目里，给 mobile-framework 仓库的 main 分支加保护好吗？	仓库设置或报表
请确保 security-project 项目的 risk-assessment 仓库禁止用 http 克隆代码	仓库设置或报表
为仓库 vue-components 的 feature/drag-and-drop 分支创建一个合并请求	合并请求操作
查找一下用户 larry 在 front-end-frameworks 项目的 react-ui 仓库里最近提交的记录	提交相关操作
修改仓库 repo-logging-service 的配置文件	仓库设置或报表
在 data-platform 项目里，给 data-warehouse 仓库的 main 分支加保护	仓库设置或报表
请确保 app-development 项目的 ionic-app 仓库禁止用 http 克隆代码	仓库设置或报表
在项目 devops-project 中创建代码仓库 repo-cache-service	仓库创建删除
我想找找仓库 react-native-app 里和 "Theming" 有关的合并请求	合并请求操作
在 analytics-project 项目的 bi-tools 仓库的 feature/dashboard 分支上创建一个合并请求吧	合并请求操作
在 machine-learning 项目里，给 ml-datasets 仓库的 main 分支加保护好吗？	仓库设置或报表
请确保 app-development 项目的 flutter-app 仓库禁止用 http 克隆代码	仓库设置或报表
请查看 cloud-project 项目里的 terraform-templates 仓库的代码质量报告	仓库设置或报表
在项目 automation-tools 中创建代码仓库 ci-cd-pipeline	仓库创建删除
查找一下用户 quentin 在 web-design 项目的 landing-pages 仓库里最近提交的记录	提交相关操作
我想了解一下 frontend-frameworks 项目的 preact-ui 仓库的贡献者报告	提交相关操作
我想在项目 web-frameworks 里创建一个名为 express-api 的新仓库	仓库创建删除
查找一下用户 maria 在 fullstack-project 项目的 node-backend 仓库里最近提交的记录	提交相关操作
我想了解一下 network-project 项目的 vpn-config 仓库的活跃用户报告	仓库设置或报表
我想看一下 machine-learning-project 项目的 machine-learning 仓库的活跃用户报告	仓库设置或报表
在项目 agile-tools 中创建代码仓库 sprint-planner	仓库创建删除
对比仓库 ci-cd-pipeline 中的 feature/add-helm-charts 分支和 master 分支	对比代码
在 data-platform 项目里，给 real-time-streaming 仓库的 main 分支加保护好吗？	仓库设置或报表
我想了解一下 devops-tools 项目的 ansible-playbooks 仓库的分支报告	仓库设置或报表
请确保 security-project 项目的 pentest-tools 仓库禁止用 http 克隆代码	仓库设置或报表
关闭仓库 core-service 的合并请求	合并请求操作
查找一下用户 jason 在 app-development 项目的 mobile-app 仓库里最近提交的记录	提交相关操作
关闭仓库 my-frontend 的合并请求	合并请求操作
请帮我查看 backend-project 项目里的 api-integration 仓库的分支报告	仓库设置或报表
评论仓库 repo-logging-service 的合并请求	合并请求操作
查找用户 carol 在仓库 mongodb-cluster 里最近的提交记录	提交相关操作
从仓库 repo-logging-service 向 repo-cache-service merge 新提交的代码	提交相关操作
评论仓库 alerting-system 的合并请求	合并请求操作
我想了解一下 frontend-project 项目的 mobile-first-design 仓库的分支报告	仓库设置或报表
查找一下用户 rachel 在 frontend-project 项目的 web-components 仓库里最近提交的记录	提交相关操作
在仓库 storage-service 中搜索包含 "file-upload" 的代码	提交相关操作
为仓库 react-widgets 的 feature/virtual-dom 分支创建一个合并请求	合并请求操作
在 backend-services 项目里，给 authentication-service 仓库的 develop 分支加保护好吗？	仓库设置或报表
修改仓库 repo-payment-service 的配置文件	仓库设置或报表
我想看一下用户 frank 在仓库 web-frameworks 里最近提交的记录	提交相关操作
禁止对仓库 pytorch-models 使用 http 方式克隆代码	仓库设置或报表
把仓库 tensorflow-experiments 的 feature/neural-network 分支和 main 分支对比一下	对比代码
我想了解一下 frontend-project 项目的 atomic-design 仓库的分支报告	仓库设置或报表
查找一下用户 ian 在 web-design 项目的 responsive-emails 仓库里最近提交的记录	提交相关操作
在仓库 django-app 的 feature/orm 分支上创建一个合并请求好吗？	合并请求操作
对比仓库 core-service 中的 feature/add-storage 分支和 master 分支	对比代码
查找一下用户 hannah 在 fullstack-project 项目的 nodejs-backend 仓库里最近提交的记录	提交相关操作
请确保 app-development 项目的 android-app 仓库禁止用 http 克隆代码	仓库设置或报表
嘿，我想在项目 machine-learning 里创建一个名为 tensorflow-experiments 的新仓库	仓库创建删除
确保在仓库 vue-components 里禁止用 http 克隆代码	仓库设置或报表
嘿，我想在项目 css-frameworks 里创建一个名为 tailwind-styles 的新仓库	仓库创建删除
关闭仓库 core-service 的合并请求	合并请求操作
请将仓库 express-api 的 develop 分支设置为保护分支	仓库设置或报表
请帮我查看 e-commerce 项目里的 inventory-system 仓库的访问统计报告	仓库设置或报表
从仓库 core-service 中向仓库 my-backend merge 最近提交的代码	提交相关操作
请确保 devops-tools 项目的 packer-templates 仓库禁止用 http 克隆代码	仓库设置或报表
搜索仓库 tailwind-styles 里有关 "Accessibility" 的合并请求	合并请求操作
请查看 app-development 项目里的 hybrid-app 仓库的代码质量报告	仓库设置或报表
将仓库 django-app 的 feature/authentication 分支设置为保护分支	仓库设置或报表
请确保 devops-tools 项目的 chef-cookbooks 仓库禁止用 http 克隆代码	仓库设置或报表
在 web-apps 项目的 react-spa 仓库的 feature/seo 分支上创建一个合并请求吧	合并请求操作
在 backend-services 项目里，给 api-gateway 仓库的 develop 分支加保护好吗？	仓库设置或报表
请帮我查看 e-commerce 项目里的 shipping-api 仓库的访问统计报告	仓库设置或报表
查看仓库 mobile-frameworks 的访问统计报表	仓库设置或报表
在项目 devops-project 中创建代码仓库 repo-payment-service	仓库创建删除
你能帮我搜索一下仓库 flutter-app 里包含 "Firebase" 的代码吗？	提交相关操作
评论仓库 sprint-planner 的合并请求	合并请求操作
查找一下用户 yasmine 在 fullstack-project 项目的 java-backend 仓库里最近提交的记录	提交相关操作
在 cloud-project 项目的 serverless-arch 仓库的 feature/functions 分支上创建一个合并请求吧	合并请求操作
对比仓库 core-service 中的 feature/add-search 分支和 master 分支	对比代码
评论仓库 load-testing 的合并请求	合并请求操作
在 web-design 项目里，给 svg-animations 仓库的 develop 分支加保护好吗？	仓库设置或报表
修改仓库 alerting-system 的 Dockerfile	提交相关操作
在 database-project 项目的 postgres-cluster 仓库的 feature/partitioning 分支上创建一个合并请求吧	合并请求操作
查找用户 dave 在仓库 postgresql-replica 里最近的提交记录	提交相关操作
我想了解一下 frontend-frameworks 项目的 ember-ui 仓库的贡献者报告	仓库设置或报表
请搜索一下仓库 pytorch-models 里有没有包含 "Convolutional" 的代码？	提交相关操作
在 machine-learning 项目里，给 pytorch-experiments 仓库的 main 分支加保护好吗？	仓库设置或报表
在 data-platform 项目里，给 etl-pipeline 仓库的 main 分支加保护好吗？	仓库设置或报表
从仓库 alerting-system 向 load-testing merge 新提交的代码	提交相关操作
从仓库 my-backend 向 repo-logging-service merge 新提交的代码	提交相关操作
在 machine-learning 项目里，给 tensorflow-models 仓库的 develop 分支加保护好吗？	仓库设置或报表
在 web-design 项目里，给 responsive-framework 仓库的 develop 分支加保护好吗？	仓库设置或报表
帮我找一下仓库 postgresql-replica 里包含 "Partitioning" 的代码？	提交相关操作
帮我查看仓库 react-native-app 的活跃用户报表	仓库设置或报表
在 web-design 项目里，给 html5-games 仓库的 develop 分支加保护好吗？	仓库设置或报表
评论仓库 my-backend 的合并请求	合并请求操作
在 analytics-project 项目的 data-catalog 仓库的 feature/search 分支上创建一个合并请求吧	合并请求操作
在项目 my-app 中创建代码仓库 my-frontend	仓库创建删除
把仓库 mongodb-cluster 的 feature/sharding 分支和 main 分支进行比较	对比代码
在 analytics-project 项目的 data-visualization 仓库的 feature/charts 分支上创建一个合并请求吧	合并请求操作
查找一下用户 karen 在 devops-project 项目的 ci-cd 仓库里最近提交的记录	提交相关操作
帮我查看仓库 flutter-app 的贡献者报表	仓库设置或报表
请把仓库 express-api 里的 develop 分支和 main 分支进行比较	对比代码
请确保 devops-tools 项目的 helm-charts 仓库禁止用 http 克隆代码	仓库设置或报表
在仓库 analytics-service 中搜索包含 "dashboard" 的代码	提交相关操作
把仓库 react-native-app 的 feature/login 分支和 main 分支对比一下	对比代码
在仓库 express-api 的 feature/logging 分支上创建一个合并请求吧	合并请求操作
请确保 security-project 项目的 vulnerability-scanner 仓库禁止用 http 克隆代码	仓库设置或报表
请确保 devops-tools 项目的 kubernetes-charts 仓库禁止用 http 克隆代码	仓库设置或报表
在 backend-services 项目里，给 message-queue 仓库的 develop 分支加保护好吗？	仓库设置或报表
请设置仓库 react-native-app 的 main 分支为保护分支	仓库设置或报表
请确保仓库 css-frameworks 不能用 http 克隆代码	仓库设置或报表
